cif,Jenis Kelamin,Umur,Range Umur,Status Pernikahan,Gaji,Range Gaji,Pendidikan,Kota,Tipe Customer,Nomor Rekening,Tipe Rekening,Tanggal Pembuatan Rekening,Channel Pembukaan Rekening,Transaction ID,Tanggal Transaksi,Nominal Transaksi,Channel Transaksi,Kategori Merchant,Card Base
879920094646668,Laki-Laki,20,<25,Divorce,185944626,>100Jt,D3,Jakarta,Private,6198508510,DEPOSITO,5/28/2019,INTERNET BANKING,820504157,8/20/2025,5331945,Mobile,Entertainment,On-us
336293229782274,Laki-Laki,36,35-44,Married,136872126,>100Jt,SMA,Surabaya,Priority,6345752761,GIRO,12/24/2018,MOBILE BANKING,412046983,10/27/2025,4345774,Internet,Transport,On-us
640021427197836,Perempuan,42,35-44,Married,166104474,>100Jt,SMA,Surabaya,Private,8195807278,PAYROLL,11/17/2019,INTERNET BANKING,828542352,6/16/2025,4617865,EDC,E-Commerce,Off-us
926614095029467,Laki-Laki,53,45-59,Divorce,9299492,5-15Jt,S2,Bandung,Reguler,5161685277,DEPOSITO,3/31/2022,MOBILE BANKING,852261412,3/8/2025,2095974,QRIS,E-Commerce,On-us
406336375248160,Laki-Laki,21,<25,Married,20848408,15-50Jt,S2,Jakarta,Reguler,1932970415,PAYROLL,8/15/2019,BRANCH,182791979,3/19/2025,1239631,E-Wallet,Travel,Off-us
776478310106453,Laki-Laki,59,45-59,Divorce,141612371,>100Jt,S1,Jakarta,Reguler,3666396475,GIRO,1/6/2023,BRANCH,637254325,6/2/2025,1859171,E-Wallet,Entertainment,Off-us
554745143318758,Laki-Laki,26,25-34,Married,62963387,50-100Jt,SMA,Jakarta,Reguler,2037669571,DEPOSITO,11/14/2018,BRANCH,121338915,3/22/2025,9950362,E-Wallet,F&B,On-us
312203945267908,Perempuan,28,25-34,Married,60021206,50-100Jt,SMA,Surabaya,Priority,9514302592,PAYROLL,7/10/2023,INTERNET BANKING,852965840,2/28/2025,7358979,ATM,Travel,On-us
168821056528514,Laki-Laki,69,>=60,Divorce,133978076,>100Jt,D3,Medan,Priority,6014660105,GIRO,5/5/2018,BRANCH,873171638,1/13/2025,6516686,ATM,Utilities,Off-us
174132554364869,Laki-Laki,63,>=60,Single,109463841,>100Jt,S2,Surabaya,Priority,3177248270,DEPOSITO,4/25/2024,MOBILE BANKING,118672667,8/28/2025,4124751,Internet,E-Commerce,Off-us
212120645625846,Perempuan,39,35-44,Divorce,148578317,>100Jt,S3,Makassar,Reguler,4586185102,PAYROLL,1/11/2024,INTERNET BANKING,257237517,1/16/2025,8246558,Internet,Retail,On-us
201037929336372,Perempuan,53,45-59,Married,78495233,50-100Jt,S1,Medan,Private,1540910927,PAYROLL,2/24/2022,BRANCH,468590721,9/7/2025,8451259,Mobile,Travel,On-us
641913443570297,Laki-Laki,69,>=60,Single,174924083,>100Jt,S3,Jakarta,Reguler,4205393417,PAYROLL,2/18/2024,MOBILE BANKING,372346808,9/21/2025,9550543,ATM,Entertainment,Off-us
646791998424948,Laki-Laki,29,25-34,Married,155504334,>100Jt,SMA,Jakarta,Reguler,4040244581,TABUNGAN,8/22/2024,BRANCH,708574141,6/18/2025,6149143,ATM,F&B,On-us
843800324051130,Laki-Laki,37,35-44,Divorce,104526959,>100Jt,S2,Surabaya,Priority,1147760642,GIRO,11/9/2018,MOBILE BANKING,124097525,2/7/2025,219590,ATM,Utilities,On-us
745482546187016,Laki-Laki,65,>=60,Married,93284985,50-100Jt,S3,Bandung,Reguler,6476632019,GIRO,5/13/2018,MOBILE BANKING,332946515,10/21/2025,7858440,ATM,Retail,Off-us
788318724714971,Laki-Laki,60,>=60,Divorce,17534056,15-50Jt,SMA,Bandung,Priority,4592242939,PAYROLL,4/16/2021,BRANCH,623627515,10/20/2025,784681,EDC,Transport,Off-us
140976925605868,Laki-Laki,45,45-59,Married,154212714,>100Jt,D3,Makassar,Priority,7682591213,TABUNGAN,9/18/2022,BRANCH,442006132,9/9/2025,881344,QRIS,Utilities,Off-us
583468366079321,Laki-Laki,39,35-44,Divorce,35672748,15-50Jt,S2,Bandung,Priority,9178105901,TABUNGAN,1/4/2024,INTERNET BANKING,706974369,5/10/2025,6604071,QRIS,F&B,On-us
894326198405886,Laki-Laki,68,>=60,Divorce,111393598,>100Jt,S3,Bandung,Private,4725785469,DEPOSITO,9/14/2018,MOBILE BANKING,825828604,10/12/2025,9702914,Mobile,Retail,On-us
299405224843939,Laki-Laki,29,25-34,Divorce,66569689,50-100Jt,SMA,Makassar,Reguler,8704723192,TABUNGAN,4/18/2019,INTERNET BANKING,346171190,6/5/2025,9404051,E-Wallet,E-Commerce,On-us
680209463536678,Perempuan,46,45-59,Single,73770961,50-100Jt,S2,Jakarta,Reguler,4400068211,DEPOSITO,1/5/2022,BRANCH,174446436,7/28/2025,5432118,Mobile,Utilities,On-us
634116162911659,Perempuan,46,45-59,Divorce,122102305,>100Jt,S2,Surabaya,Private,3728693006,DEPOSITO,11/11/2023,MOBILE BANKING,705501652,9/10/2025,6791675,E-Wallet,Entertainment,Off-us
946872760915266,Perempuan,64,>=60,Married,192074497,>100Jt,S3,Medan,Private,8647065296,TABUNGAN,11/12/2023,INTERNET BANKING,374631970,5/7/2025,7977878,Internet,Entertainment,Off-us
270787825594253,Laki-Laki,63,>=60,Single,120887756,>100Jt,S2,Jakarta,Reguler,5105639992,TABUNGAN,1/27/2021,INTERNET BANKING,467270215,6/17/2025,3219493,Mobile,E-Commerce,Off-us
612588809570155,Perempuan,55,45-59,Divorce,64658869,50-100Jt,S2,Bandung,Priority,9424796251,TABUNGAN,7/13/2024,BRANCH,999451264,8/20/2025,7762462,Mobile,F&B,On-us
616046311584896,Laki-Laki,53,45-59,Divorce,88607690,50-100Jt,S2,Makassar,Reguler,1924086342,PAYROLL,5/8/2021,BRANCH,463946725,5/17/2025,341003,ATM,Utilities,On-us
135028616028088,Perempuan,21,<25,Single,82885559,50-100Jt,S3,Medan,Priority,9951626750,GIRO,12/5/2019,BRANCH,771931826,3/30/2025,672327,EDC,Travel,On-us
800050746671643,Perempuan,17,<25,Single,41175224,15-50Jt,S2,Surabaya,Priority,6998899374,DEPOSITO,5/30/2023,BRANCH,112063667,10/14/2025,2924827,ATM,Travel,Off-us
823761281591370,Perempuan,32,25-34,Divorce,47772085,15-50Jt,S3,Bandung,Reguler,9997560974,TABUNGAN,5/9/2023,BRANCH,224929636,9/26/2025,8014261,ATM,Retail,On-us
439102991175427,Perempuan,51,45-59,Divorce,161946576,>100Jt,S2,Medan,Reguler,9696298936,DEPOSITO,10/22/2020,MOBILE BANKING,954482514,7/10/2025,7437656,E-Wallet,Utilities,On-us
820088116490282,Perempuan,19,<25,Married,82238576,50-100Jt,S3,Jakarta,Priority,2838329131,GIRO,6/1/2024,BRANCH,559289786,10/9/2025,2661568,EDC,F&B,On-us
127038556477493,Laki-Laki,55,45-59,Married,50246348,50-100Jt,S3,Makassar,Reguler,4459451345,DEPOSITO,10/29/2024,MOBILE BANKING,777888960,4/22/2025,9995093,Mobile,Retail,On-us
864638996071128,Laki-Laki,28,25-34,Married,95184932,50-100Jt,D3,Bandung,Priority,2579296003,DEPOSITO,6/10/2023,MOBILE BANKING,319213956,8/15/2025,7012757,EDC,Utilities,Off-us
263649188602588,Perempuan,67,>=60,Married,182722030,>100Jt,S2,Jakarta,Reguler,5252973394,GIRO,3/5/2021,INTERNET BANKING,366274587,1/6/2025,9827996,Mobile,Entertainment,On-us
745372178776601,Perempuan,22,<25,Single,193584594,>100Jt,S1,Jakarta,Private,5406190056,GIRO,3/9/2020,INTERNET BANKING,335995793,6/13/2025,6667203,Internet,Transport,Off-us
248693153714990,Perempuan,53,45-59,Divorce,153357841,>100Jt,D3,Makassar,Priority,5361313500,GIRO,8/12/2024,MOBILE BANKING,832476152,9/23/2025,7979159,E-Wallet,Travel,On-us
113108090945131,Laki-Laki,66,>=60,Single,148277588,>100Jt,S2,Jakarta,Reguler,5369218887,TABUNGAN,1/16/2019,BRANCH,782789811,1/13/2025,4772107,E-Wallet,E-Commerce,Off-us
336293229782274,Laki-Laki,36,35-44,Married,136872126,>100Jt,SMA,Surabaya,Priority,4767203722,PAYROLL,6/21/2022,BRANCH,590435265,5/26/2025,7758493,EDC,E-Commerce,On-us
395667283119795,Perempuan,42,35-44,Divorce,81929433,50-100Jt,S2,Surabaya,Reguler,1332480086,GIRO,8/5/2020,BRANCH,247238970,5/10/2025,7036098,Mobile,Utilities,Off-us
201037929336372,Perempuan,53,45-59,Married,78495233,50-100Jt,S1,Medan,Private,7006084284,DEPOSITO,7/7/2021,INTERNET BANKING,520459538,8/18/2025,3944808,QRIS,Retail,Off-us
264983843583118,Laki-Laki,68,>=60,Divorce,171761496,>100Jt,S3,Medan,Priority,9074235998,PAYROLL,4/23/2019,INTERNET BANKING,418932569,6/18/2025,9896995,QRIS,Retail,On-us
415779450641039,Laki-Laki,45,45-59,Married,194302384,>100Jt,S3,Medan,Reguler,4736728603,PAYROLL,3/22/2019,MOBILE BANKING,533463450,8/16/2025,1363107,QRIS,E-Commerce,On-us
876525714156733,Perempuan,68,>=60,Single,125869731,>100Jt,S1,Medan,Reguler,4993425036,GIRO,11/10/2018,BRANCH,230540326,6/5/2025,5123982,Internet,Transport,On-us
264983843583118,Laki-Laki,68,>=60,Divorce,171761496,>100Jt,S3,Medan,Priority,9835317751,GIRO,10/5/2019,MOBILE BANKING,762925911,2/23/2025,6915823,Internet,E-Commerce,Off-us
270787825594253,Laki-Laki,63,>=60,Single,120887756,>100Jt,S2,Jakarta,Reguler,1699118028,DEPOSITO,4/23/2020,MOBILE BANKING,282488501,1/18/2025,4308176,Internet,Utilities,Off-us
549220692282892,Laki-Laki,63,>=60,Married,68985129,50-100Jt,S2,Medan,Private,7561731676,PAYROLL,9/16/2019,BRANCH,942640479,9/18/2025,6809605,ATM,Travel,On-us
111568307729179,Laki-Laki,67,>=60,Married,144996476,>100Jt,S2,Jakarta,Priority,6075636008,DEPOSITO,9/29/2024,BRANCH,792218082,1/27/2025,4255474,ATM,Transport,On-us
554800177005272,Perempuan,29,25-34,Married,157913893,>100Jt,SMA,Medan,Priority,7148607892,PAYROLL,9/14/2018,BRANCH,173810681,5/30/2025,8688811,ATM,F&B,Off-us
162231920754937,Laki-Laki,50,45-59,Single,16855509,15-50Jt,S1,Medan,Reguler,5854776442,GIRO,4/29/2019,INTERNET BANKING,360703954,7/2/2025,9654541,E-Wallet,E-Commerce,On-us
808239861668364,Perempuan,31,25-34,Single,185461302,>100Jt,S3,Surabaya,Private,8203282773,GIRO,5/22/2022,BRANCH,633027514,5/4/2025,4095979,E-Wallet,Entertainment,On-us
976211326574482,Perempuan,59,45-59,Married,42384827,15-50Jt,S3,Surabaya,Reguler,6399186578,GIRO,7/9/2024,BRANCH,424171613,9/12/2025,1981926,E-Wallet,Travel,Off-us
612588809570155,Perempuan,55,45-59,Divorce,64658869,50-100Jt,S2,Bandung,Priority,4906480937,DEPOSITO,9/30/2018,BRANCH,652276142,7/1/2025,9566074,Mobile,Retail,On-us
116710344680070,Perempuan,69,>=60,Single,112981072,>100Jt,D3,Bandung,Priority,7638713642,GIRO,3/31/2018,MOBILE BANKING,725004128,10/3/2025,8663674,Internet,Transport,On-us
816942161261759,Laki-Laki,48,45-59,Divorce,97455633,50-100Jt,S1,Makassar,Priority,6383303873,GIRO,3/10/2021,INTERNET BANKING,366622206,8/18/2025,659325,QRIS,Entertainment,On-us
611622884961985,Laki-Laki,35,35-44,Married,184854770,>100Jt,S3,Bandung,Priority,6641342315,GIRO,3/25/2018,INTERNET BANKING,587836083,5/21/2025,5820184,ATM,E-Commerce,Off-us
188515033415066,Perempuan,53,45-59,Single,144159991,>100Jt,S3,Makassar,Reguler,1806285949,PAYROLL,7/18/2020,INTERNET BANKING,470348219,8/17/2025,290063,E-Wallet,E-Commerce,Off-us
256319534789292,Perempuan,29,25-34,Married,99414082,50-100Jt,S1,Surabaya,Priority,2358822021,PAYROLL,3/10/2020,MOBILE BANKING,592489016,7/22/2025,9146147,ATM,Retail,On-us
928751419353057,Laki-Laki,37,35-44,Divorce,191016065,>100Jt,S1,Jakarta,Priority,7025366787,PAYROLL,8/22/2022,BRANCH,260703596,4/9/2025,9105380,ATM,Transport,Off-us
188515033415066,Perempuan,53,45-59,Single,144159991,>100Jt,S3,Makassar,Reguler,1806285949,PAYROLL,7/18/2020,INTERNET BANKING,586991444,3/22/2025,6612790,QRIS,Transport,Off-us
543813729645684,Perempuan,49,45-59,Married,65900522,50-100Jt,S3,Bandung,Private,8068481833,TABUNGAN,4/11/2023,INTERNET BANKING,337349474,10/10/2025,8533942,E-Wallet,Utilities,On-us
718982318537602,Laki-Laki,38,35-44,Divorce,163886613,>100Jt,D3,Bandung,Private,7499212104,PAYROLL,11/30/2019,MOBILE BANKING,446470558,2/4/2025,6979080,E-Wallet,F&B,Off-us
116376425508216,Laki-Laki,31,25-34,Divorce,3131936,<5Jt,SMA,Medan,Private,8204664903,TABUNGAN,1/26/2019,INTERNET BANKING,962962442,6/3/2025,115102,E-Wallet,Transport,Off-us
329409024826848,Perempuan,35,35-44,Married,24688293,15-50Jt,S3,Surabaya,Priority,9071948615,PAYROLL,5/25/2021,MOBILE BANKING,462804799,3/1/2025,9444602,Mobile,Retail,On-us
577068570273819,Laki-Laki,58,45-59,Single,150845503,>100Jt,S3,Surabaya,Private,7312938079,TABUNGAN,8/14/2024,INTERNET BANKING,904001324,7/21/2025,6598634,QRIS,Retail,Off-us
611622884961985,Laki-Laki,35,35-44,Married,184854770,>100Jt,S3,Bandung,Priority,9303000369,GIRO,2/28/2018,MOBILE BANKING,605756077,2/18/2025,8259207,EDC,Retail,Off-us
561762742861811,Perempuan,41,35-44,Single,182763452,>100Jt,SMA,Makassar,Private,8155188582,TABUNGAN,11/13/2021,BRANCH,708002456,6/17/2025,5799898,Mobile,Retail,Off-us
440387104856901,Perempuan,41,35-44,Married,166621892,>100Jt,S1,Bandung,Priority,5838475264,GIRO,5/18/2023,MOBILE BANKING,487054934,3/17/2025,9998951,E-Wallet,Transport,Off-us
107853373917053,Laki-Laki,52,45-59,Divorce,119261556,>100Jt,SMA,Bandung,Priority,3127373094,GIRO,11/10/2021,INTERNET BANKING,478505371,1/17/2025,7347470,ATM,Travel,On-us
896527733557053,Laki-Laki,62,>=60,Divorce,166679232,>100Jt,S3,Makassar,Reguler,8878938198,GIRO,3/1/2024,MOBILE BANKING,751085290,10/7/2025,6098573,QRIS,F&B,On-us
720004815084629,Laki-Laki,67,>=60,Single,6033349,5-15Jt,D3,Makassar,Priority,3034840799,DEPOSITO,4/30/2024,INTERNET BANKING,560379661,5/2/2025,8402272,Internet,Utilities,Off-us
383267097747570,Laki-Laki,23,<25,Single,181260177,>100Jt,D3,Jakarta,Reguler,5767489795,TABUNGAN,12/5/2020,MOBILE BANKING,458469415,5/9/2025,8723162,QRIS,Entertainment,Off-us
114034634097465,Perempuan,54,45-59,Single,25148023,15-50Jt,S3,Makassar,Reguler,8281733399,DEPOSITO,9/24/2020,MOBILE BANKING,950375623,6/27/2025,5704084,ATM,Utilities,Off-us
870630400994415,Perempuan,50,45-59,Single,89405050,50-100Jt,S2,Makassar,Private,4186845921,DEPOSITO,8/25/2018,MOBILE BANKING,685085638,8/26/2025,8073549,Internet,F&B,On-us
605933758493855,Perempuan,67,>=60,Married,135120018,>100Jt,D3,Surabaya,Priority,8807486338,PAYROLL,12/9/2021,BRANCH,655119756,4/14/2025,9736060,E-Wallet,Utilities,Off-us
200195118338445,Laki-Laki,25,25-34,Married,7264423,5-15Jt,D3,Jakarta,Priority,6664277249,DEPOSITO,2/11/2019,BRANCH,424273910,1/12/2025,6624266,ATM,Entertainment,Off-us
231148756759307,Perempuan,48,45-59,Divorce,76663899,50-100Jt,S3,Makassar,Priority,4289379869,TABUNGAN,2/18/2018,BRANCH,563513122,7/3/2025,1810913,Mobile,Entertainment,On-us
523081636113591,Perempuan,31,25-34,Divorce,182028108,>100Jt,S3,Medan,Reguler,9926237707,DEPOSITO,5/21/2019,MOBILE BANKING,737547907,9/2/2025,8408384,EDC,Utilities,Off-us
464627251120039,Perempuan,19,<25,Divorce,194070021,>100Jt,D3,Jakarta,Private,9384910085,GIRO,8/3/2022,INTERNET BANKING,556532942,1/24/2025,4878670,EDC,E-Commerce,On-us
214443904980729,Perempuan,33,25-34,Divorce,187789155,>100Jt,S3,Bandung,Private,9590969700,DEPOSITO,3/17/2018,MOBILE BANKING,780408567,3/6/2025,6677087,ATM,F&B,Off-us
463588817423293,Laki-Laki,62,>=60,Married,99504946,50-100Jt,D3,Makassar,Reguler,9964066137,PAYROLL,12/30/2019,MOBILE BANKING,413176174,9/3/2025,5965419,ATM,Retail,On-us
481658632807714,Laki-Laki,49,45-59,Married,26507635,15-50Jt,S3,Bandung,Private,1102973776,PAYROLL,6/28/2020,BRANCH,858801517,1/30/2025,2428812,QRIS,Travel,On-us
364266710355591,Laki-Laki,65,>=60,Single,186644688,>100Jt,S3,Surabaya,Private,2152236735,GIRO,1/26/2018,INTERNET BANKING,175138031,1/28/2025,790564,EDC,Utilities,Off-us
744968175175824,Perempuan,34,25-34,Single,142008892,>100Jt,SMA,Medan,Reguler,2687001515,TABUNGAN,4/5/2020,BRANCH,866515944,10/9/2025,1999717,E-Wallet,Travel,On-us
424058266561778,Laki-Laki,36,35-44,Divorce,12986298,5-15Jt,S2,Medan,Priority,2302590308,PAYROLL,11/19/2019,MOBILE BANKING,797669383,8/9/2025,4130697,Internet,Transport,On-us
455812842695564,Laki-Laki,23,<25,Married,35105736,15-50Jt,D3,Jakarta,Private,5139565320,TABUNGAN,8/13/2022,INTERNET BANKING,920266937,4/10/2025,2819963,ATM,Entertainment,Off-us
580557595733872,Laki-Laki,59,45-59,Divorce,136786784,>100Jt,D3,Surabaya,Private,7461455101,TABUNGAN,4/1/2024,INTERNET BANKING,986347184,10/20/2025,3448230,QRIS,Travel,Off-us
194274009108928,Perempuan,56,45-59,Divorce,12622823,5-15Jt,S3,Medan,Priority,7710364062,PAYROLL,1/29/2024,BRANCH,656624383,6/4/2025,8544934,E-Wallet,Travel,Off-us
174132554364869,Laki-Laki,63,>=60,Single,109463841,>100Jt,S2,Surabaya,Priority,4310623150,GIRO,2/12/2021,MOBILE BANKING,653528177,4/4/2025,4690527,EDC,Transport,Off-us
193339315861155,Perempuan,29,25-34,Divorce,122110869,>100Jt,S1,Medan,Private,9801675008,DEPOSITO,8/11/2023,BRANCH,457163186,8/9/2025,7573740,Internet,Transport,On-us
455812842695564,Laki-Laki,23,<25,Married,35105736,15-50Jt,D3,Jakarta,Private,5139565320,TABUNGAN,8/13/2022,INTERNET BANKING,794134831,10/10/2025,3590204,Internet,F&B,On-us
822209882899756,Perempuan,34,25-34,Single,88021707,50-100Jt,S3,Surabaya,Reguler,1144078413,DEPOSITO,2/21/2020,INTERNET BANKING,111192442,10/12/2025,6663505,Mobile,Travel,Off-us
152329241277043,Laki-Laki,37,35-44,Single,71802303,50-100Jt,S2,Bandung,Priority,4941803538,DEPOSITO,11/22/2018,INTERNET BANKING,944829286,8/24/2025,7547805,ATM,Entertainment,On-us
606144202577691,Laki-Laki,38,35-44,Married,178037566,>100Jt,S1,Bandung,Priority,5349068428,DEPOSITO,4/28/2024,BRANCH,849876519,10/14/2025,718667,Mobile,F&B,On-us
704449798636100,Laki-Laki,63,>=60,Married,120118738,>100Jt,D3,Medan,Private,3998190156,PAYROLL,2/7/2020,MOBILE BANKING,581932130,5/14/2025,4068735,E-Wallet,E-Commerce,On-us
256319534789292,Perempuan,29,25-34,Married,99414082,50-100Jt,S1,Surabaya,Priority,2358822021,PAYROLL,3/10/2020,MOBILE BANKING,141920694,9/17/2025,8039606,QRIS,Travel,On-us
981059024159598,Perempuan,40,35-44,Single,84242298,50-100Jt,S3,Surabaya,Priority,7641767837,GIRO,9/24/2021,BRANCH,444521771,1/20/2025,5360960,QRIS,E-Commerce,Off-us
605933758493855,Perempuan,67,>=60,Married,135120018,>100Jt,D3,Surabaya,Priority,9016346272,PAYROLL,3/13/2024,MOBILE BANKING,738722819,3/29/2025,1424398,Mobile,E-Commerce,Off-us
185740716611411,Perempuan,50,45-59,Married,24588887,15-50Jt,SMA,Bandung,Priority,6273267819,PAYROLL,1/19/2024,BRANCH,271575066,2/11/2025,7176492,Mobile,Entertainment,On-us
463634391358779,Perempuan,45,45-59,Married,150748842,>100Jt,SMA,Medan,Reguler,8755821284,DEPOSITO,8/30/2019,INTERNET BANKING,816905040,6/7/2025,7498563,EDC,Retail,On-us
740567215843211,Perempuan,50,45-59,Married,87123279,50-100Jt,D3,Makassar,Private,1046378726,GIRO,8/25/2024,INTERNET BANKING,365804367,2/9/2025,557921,QRIS,E-Commerce,Off-us
135028616028088,Perempuan,21,<25,Single,82885559,50-100Jt,S3,Medan,Priority,9443204198,TABUNGAN,10/27/2021,BRANCH,819162951,9/4/2025,2674904,ATM,Entertainment,On-us
858622357802945,Laki-Laki,35,35-44,Single,199484277,>100Jt,D3,Surabaya,Reguler,6604129762,DEPOSITO,3/2/2022,INTERNET BANKING,343461869,6/25/2025,1457079,E-Wallet,Utilities,On-us
299405224843939,Laki-Laki,29,25-34,Divorce,66569689,50-100Jt,SMA,Makassar,Reguler,1425066989,DEPOSITO,3/23/2018,INTERNET BANKING,979102428,6/10/2025,9059586,E-Wallet,Entertainment,On-us
509248265550826,Laki-Laki,35,35-44,Single,72518245,50-100Jt,SMA,Jakarta,Reguler,9056338752,TABUNGAN,8/4/2020,INTERNET BANKING,159007249,4/16/2025,9856161,E-Wallet,Travel,On-us
438582199388253,Laki-Laki,48,45-59,Single,180844291,>100Jt,SMA,Makassar,Priority,7070259639,TABUNGAN,6/23/2021,INTERNET BANKING,945051797,8/24/2025,3748265,ATM,Travel,Off-us
589906158508078,Perempuan,66,>=60,Divorce,63078382,50-100Jt,S2,Makassar,Reguler,1454409073,DEPOSITO,1/27/2020,INTERNET BANKING,965074813,9/25/2025,1020934,QRIS,F&B,Off-us
660959342485978,Perempuan,19,<25,Married,87656124,50-100Jt,S3,Surabaya,Private,6068742785,DEPOSITO,12/2/2023,INTERNET BANKING,712462560,6/16/2025,821066,ATM,F&B,Off-us
262526931260400,Laki-Laki,20,<25,Single,16721794,15-50Jt,D3,Bandung,Reguler,1809107450,TABUNGAN,4/19/2021,BRANCH,544755447,10/26/2025,8478549,Mobile,Travel,On-us
664599279583636,Perempuan,28,25-34,Single,108265027,>100Jt,S2,Jakarta,Priority,2709771400,TABUNGAN,7/28/2024,MOBILE BANKING,736987210,1/30/2025,2486901,Mobile,F&B,Off-us
780833243538568,Laki-Laki,35,35-44,Divorce,131850906,>100Jt,S3,Medan,Reguler,3027725960,PAYROLL,12/19/2023,MOBILE BANKING,722761758,2/16/2025,7925210,QRIS,F&B,On-us
740567215843211,Perempuan,50,45-59,Married,87123279,50-100Jt,D3,Makassar,Private,3221004595,TABUNGAN,7/7/2024,INTERNET BANKING,957899729,1/21/2025,3285433,EDC,Entertainment,On-us
700385238817595,Laki-Laki,43,35-44,Single,134127426,>100Jt,D3,Bandung,Priority,3817504373,TABUNGAN,10/28/2019,INTERNET BANKING,306362459,2/20/2025,9203247,EDC,Retail,On-us
821603274674440,Laki-Laki,45,45-59,Married,163777868,>100Jt,SMA,Surabaya,Priority,2647268172,GIRO,11/20/2021,INTERNET BANKING,808275196,8/24/2025,2398737,Internet,Entertainment,On-us
680810115314904,Laki-Laki,19,<25,Divorce,124658202,>100Jt,S3,Jakarta,Private,3535860828,PAYROLL,2/5/2020,BRANCH,183788746,9/22/2025,5680673,QRIS,Utilities,On-us
895909303166067,Perempuan,64,>=60,Married,82232916,50-100Jt,SMA,Makassar,Priority,5385320127,PAYROLL,9/19/2021,INTERNET BANKING,104084584,10/8/2025,9647811,Mobile,Transport,On-us
817180975668475,Laki-Laki,66,>=60,Married,88711044,50-100Jt,S2,Jakarta,Reguler,5895062567,GIRO,12/7/2020,INTERNET BANKING,502680580,9/24/2025,9337449,Internet,E-Commerce,Off-us
329409024826848,Perempuan,35,35-44,Married,24688293,15-50Jt,S3,Surabaya,Priority,9931469178,TABUNGAN,11/27/2019,BRANCH,859748878,2/17/2025,6836066,ATM,Retail,On-us
532904790615647,Laki-Laki,25,25-34,Single,181077811,>100Jt,SMA,Jakarta,Private,6176239360,TABUNGAN,10/8/2018,INTERNET BANKING,264203616,2/25/2025,7159864,Internet,F&B,On-us
421006105642624,Laki-Laki,34,25-34,Single,167441205,>100Jt,S1,Medan,Priority,6299658153,TABUNGAN,9/2/2023,INTERNET BANKING,128347726,5/25/2025,8222221,E-Wallet,Transport,Off-us
858622357802945,Laki-Laki,35,35-44,Single,199484277,>100Jt,D3,Surabaya,Reguler,6604129762,DEPOSITO,3/2/2022,INTERNET BANKING,237753574,2/2/2025,8421207,ATM,F&B,On-us
710087468018447,Laki-Laki,59,45-59,Divorce,182406473,>100Jt,D3,Jakarta,Priority,4962418329,PAYROLL,6/26/2021,INTERNET BANKING,245960574,5/6/2025,2867558,Internet,Retail,Off-us
